ENSG00000223972.5	chr1	4410	14410	+
ENSG00000227232.5	chr1	19571	29571	-
ENSG00000278267.1	chr1	7437	17437	-
ENSG00000243485.5	chr1	21110	31110	+
ENSG00000284332.1	chr1	20504	30504	+
ENSG00000237613.2	chr1	26082	36082	-
ENSG00000268020.3	chr1	43313	53313	+
ENSG00000240361.2	chr1	54117	64117	+
ENSG00000186092.6	chr1	61586	71586	+
ENSG00000238009.6	chr1	123724	133724	-
ENSG00000239945.1	chr1	81106	91106	-
ENSG00000233750.3	chr1	124837	134837	+
ENSG00000268903.1	chr1	125896	135896	-
ENSG00000269981.1	chr1	127966	137966	-
ENSG00000239906.1	chr1	130340	140340	-
ENSG00000241860.6	chr1	163863	173863	-
ENSG00000222623.1	chr1	147888	157888	-
ENSG00000241599.1	chr1	151526	161526	+
ENSG00000279928.2	chr1	174175	184175	+
ENSG00000279457.4	chr1	185412	195412	-
ENSG00000273874.1	chr1	177959	187959	-
ENSG00000228463.10	chr1	349682	359682	-
ENSG00000236679.2	chr1	338367	348367	-
ENSG00000236601.2	chr1	356053	366053	+
ENSG00000237094.12	chr1	512929	522929	-
ENSG00000269732.1	chr1	430233	440233	+
ENSG00000284733.1	chr1	441698	451698	-
ENSG00000233653.3	chr1	479907	489907	+
ENSG00000250575.1	chr1	483242	493242	-
ENSG00000278757.1	chr1	506480	516480	-
ENSG00000230021.10	chr1	817797	827797	-
ENSG00000235146.2	chr1	584769	594769	+
ENSG00000225972.1	chr1	619434	629434	+
ENSG00000225630.1	chr1	620684	630684	+
ENSG00000237973.1	chr1	622617	632617	+
ENSG00000278791.1	chr1	622414	632414	-
ENSG00000229344.1	chr1	623439	633439	+
ENSG00000240409.1	chr1	623742	633742	+
ENSG00000248527.1	chr1	624377	634377	+
ENSG00000198744.5	chr1	624923	634923	+
ENSG00000268663.1	chr1	665266	675266	+
ENSG00000284662.1	chr1	676674	686674	-
ENSG00000229376.3	chr1	714904	724904	+
ENSG00000228327.3	chr1	768627	778627	-
ENSG00000223181.1	chr1	748337	758337	-
ENSG00000229905.1	chr1	751990	761990	+
ENSG00000237491.8	chr1	800061	810061	+
ENSG00000285268.1	chr1	772051	782051	+
ENSG00000230092.7	chr1	807713	817713	-
ENSG00000177757.2	chr1	809838	819838	+
ENSG00000228794.8	chr1	849447	859447	+
ENSG00000225880.5	chr1	817523	827523	-
ENSG00000230368.2	chr1	866904	876904	-
ENSG00000234711.1	chr1	864350	874350	+
ENSG00000283040.1	chr1	867235	877235	-
ENSG00000272438.1	chr1	905977	915977	+
ENSG00000230699.2	chr1	904949	914949	+
ENSG00000241180.1	chr1	904972	914972	+
ENSG00000223764.2	chr1	911017	921017	-
ENSG00000187634.11	chr1	934582	944582	+
ENSG00000188976.10	chr1	949310	959310	-
ENSG00000187961.13	chr1	955716	965716	+
ENSG00000187583.10	chr1	965866	975866	+
ENSG00000187642.9	chr1	972094	982094	-
ENSG00000272512.1	chr1	988052	998052	-
ENSG00000188290.10	chr1	990173	1000173	-
ENSG00000187608.9	chr1	1004541	1014541	+
ENSG00000231702.2	chr1	998230	1008230	-
ENSG00000224969.1	chr1	1003194	1013194	-
ENSG00000188157.14	chr1	1046119	1056119	+
ENSG00000242590.1	chr1	1046117	1056117	+
ENSG00000217801.9	chr1	1059356	1069356	+
ENSG00000273443.1	chr1	1053289	1063289	-
ENSG00000237330.2	chr1	1064308	1074308	-
ENSG00000131591.17	chr1	1106362	1116362	-
ENSG00000285812.1	chr1	1094599	1104599	+
ENSG00000223823.1	chr1	1134057	1144057	+
ENSG00000207730.3	chr1	1157199	1167199	+
ENSG00000207607.3	chr1	1157953	1167953	+
ENSG00000198976.1	chr1	1159088	1169088	+
ENSG00000272141.1	chr1	1160344	1170344	+
ENSG00000205231.1	chr1	1169556	1179556	-
ENSG00000162571.13	chr1	1187936	1197936	+
ENSG00000186891.13	chr1	1196692	1206692	-
ENSG00000186827.10	chr1	1204139	1214139	-
ENSG00000078808.16	chr1	1222032	1232032	-
ENSG00000176022.5	chr1	1225042	1235042	+
ENSG00000184163.3	chr1	1236723	1246723	-
ENSG00000260179.1	chr1	1241335	1251335	-
ENSG00000160087.20	chr1	1263886	1273886	-
ENSG00000230415.1	chr1	1270421	1280421	+
ENSG00000162572.20	chr1	1282030	1292030	+
ENSG00000131584.18	chr1	1299610	1309610	-
ENSG00000278073.1	chr1	1286171	1296171	-
ENSG00000169972.11	chr1	1301678	1311678	+
ENSG00000127054.20	chr1	1314692	1324692	-
ENSG00000283712.1	chr1	1302567	1312567	-
ENSG00000240731.1	chr1	1308690	1318690	-
ENSG00000224051.6	chr1	1318898	1328898	+
ENSG00000169962.4	chr1	1325307	1335307	+
ENSG00000107404.19	chr1	1339351	1349351	-
ENSG00000284372.1	chr1	1329709	1339709	-
ENSG00000162576.16	chr1	1351778	1361778	-
ENSG00000175756.13	chr1	1365496	1375496	-
ENSG00000223663.2	chr1	1369033	1379033	+
ENSG00000221978.11	chr1	1389329	1399329	-
ENSG00000224870.6	chr1	1392047	1402047	+
ENSG00000242485.5	chr1	1397314	1407314	-
ENSG00000264293.2	chr1	1395753	1405753	-
ENSG00000272455.1	chr1	1400619	1410619	+
ENSG00000235098.8	chr1	1411770	1421770	-
ENSG00000225905.1	chr1	1412692	1422692	+
ENSG00000205116.3	chr1	1417788	1427788	+
ENSG00000225285.1	chr1	1424574	1434574	-
ENSG00000179403.11	chr1	1432883	1442883	+
ENSG00000215915.9	chr1	1460159	1470159	+
ENSG00000160072.19	chr1	1487849	1497849	+
ENSG00000284740.1	chr1	1499453	1509453	+
ENSG00000197785.13	chr1	1524688	1534688	+
ENSG00000205090.8	chr1	1530454	1540454	-
ENSG00000160075.11	chr1	1564870	1574870	-
ENSG00000215014.5	chr1	1567076	1577076	+
ENSG00000274481.1	chr1	1573910	1583910	-
ENSG00000228594.3	chr1	1590097	1600097	-
